332.257,17.0173,15,10,18.4464
325.6933,9.0652,15,0,16.4136
310.4057,12.0085,12,43,21.3264
392.5802,18.0622,15,8,16.3666
273.394,15.0945,2,7,18.4099
305.3116,13.0373,18,7,23.4007
276.7895,11.0541,6,22,18.4689
293.3883,9.032,13,0,20.4161
288.2825,13.0346,0,5,22.4
362.2148,10.0347,11,1,24.3773
322.8196,14.0847,19,47,17.3701
396.4477,15.1018,13,45,22.3792
328.3858,10.0901,13,25,19.3939
351.2461,14.1145,0,8,27.4529
338.6741,12.0237,18,0,19.3421
321.0171,7.1001,18,16,22.4433
407.9522,18.0303,21,53,29.3819
300.0065,7.1039,21,9,25.4861
280.3371,12.0466,10,24,22.3999
270.5332,15.035,12,13,26.3756
300.7016,11.0071,17,50,22.3817
431.185,13.9631,23,27,31.3626
356.4246,12.9087,24,11,23.3611
445.4813,11.9592,24,76,26.4544
440.0276,13.9475,31,42,24.4426
277.7791,7.9497,17,0,22.4135
299.1627,11.9627,3,1,23.3923
367.3308,18.9457,28,38,27.3467
390.1612,11.9794,23,62,24.355
431.4765,10.9973,24,21,26.3668
390.4426,12.996,32,43,27.3484
458.2396,13.9689,27,45,21.3839
396.8251,10.9318,22,42,30.3997
394.5663,11.9224,22,58,28.4153
469.3772,15.9271,16,78,29.3649
495.5932,21.9696,53,46,28.351
386.1169,10.9836,43,65,27.3466
355.5584,8.9776,30,16,27.3571
415.6245,10.9715,32,59,33.3896
446.9176,15.91,31,75,28.322
387.3977,13.9368,35,28,23.3271
316.9203,11.9677,27,16,25.3342
309.3697,11.9746,31,18,32.3309
344.0741,7.953,26,11,22.3431
246.7397,8.9486,12,0,16.3684
235.4547,11.9423,15,0,22.3323
307.5689,12.0027,34,41,23.3614
289.2877,9.0017,21,25,19.3735
331.0351,13.0253,18,23,23.3866
329.2372,8.9855,20,46,33.2716
382.8795,15.0072,34,28,31.2457
425.5326,16.0075,40,40,35.313
381.8916,16.0205,34,43,23.369
309.4256,9.0427,19,53,29.3844
353.0742,13.0577,18,36,23.3735
427.8575,14.9893,31,78,27.3222
400.6841,12.9855,42,15,24.3349
474.9414,15.9675,47,54,29.3411
387.627,11.9682,44,46,29.3166
388.6428,19.9472,45,65,33.3097
403.4966,12.9879,43,83,29.3223
362.134,13.0109,50,93,28.3072
