14,2,12,15,8,59,1003,41,13,1,0,0
6,0,7,19,10,53,1009,27,3,1,0,0
10,0,11,14,10,43,1012,14,10,1,0,0
15,0,15,10,6,40,1011,29,15,1,0,0
14,1,13,13,6,53,1008,28,13,1,0,0
11,0,9,11,6,63,1000,35,10,0,0,0
7,0,8,11,5,76,1007,49,9,0,0,0
13,0,14,11,6,59,1014,28,16,1,0,0
15,1,14,11,8,60,1014,27,15,1,0,0
16,4,15,13,8,52,1009,35,16,1,0,0
16,5,17,13,8,49,1009,32,17,1,0,0
17,5,16,12,9,40,1005,24,18,1,0,0
18,4,17,13,7,44,1006,43,17,0,0,0
11,0,11,12,10,66,1002,57,11,0,0,0
16,3,17,12,10,48,1008,25,19,1,0,0
19,5,19,16,8,36,1008,30,20,1,0,0
20,7,20,11,10,40,1007,21,21,1,0,0
10,0,10,13,6,74,1007,57,9,1,0,0
10,0,11,12,5,67,1010,35,11,1,0,0
14,0,14,11,10,51,1011,34,16,0,0,0
16,1,16,11,10,48,1010,31,17,0,0,0
19,4,19,11,10,41,1012,17,20,1,0,0
21,7,21,12,9,39,1013,16,22,1,0,0
21,7,21,13,10,43,1015,19,23,1,0,0
18,2,19,14,11,41,1021,9,21,1,0,0
13,0,12,13,5,64,1022,27,12,1,0,0
12,0,12,14,5,64,1022,25,11,0,0,0
17,0,16,13,6,39,1020,9,18,0,0,0
17,0,16,15,6,39,1019,17,17,1,0,0
15,0,14,14,6,45,1017,23,14,1,0,0
17,0,17,12,6,45,1015,18,18,1,0,0
19,3,19,13,6,43,1015,21,20,1,0,0
22,7,21,11,6,42,1014,26,24,1,0,0
22,7,23,11,10,49,1022,22,25,0,0,0
23,8,23,11,5,42,1026,10,26,0,0,0
25,10,24,11,11,37,1020,13,24,1,0,0
27,13,26,12,10,35,1015,19,26,1,0,0
26,12,26,12,8,34,1011,24,25,1,0,0
25,12,26,11,10,37,1012,25,27,1,0,0
29,16,30,11,6,35,1017,18,31,1,0,0
29,19,29,11,6,38,1018,22,31,0,0,0
27,11,27,12,5,36,1017,16,27,0,0,0
27,14,27,12,6,32,1015,16,27,1,0,0
27,13,26,11,5,42,1011,28,27,1,0,0
24,10,25,11,5,53,1013,28,25,1,0,0
27,13,28,12,5,37,1017,15,29,1,0,0
26,12,26,11,7,38,1017,21,28,1,0,0
24,9,23,12,6,38,1016,31,24,0,0,0
20,5,20,14,6,46,1016,41,21,0,0,0
21,6,22,13,6,41,1016,19,24,1,0,0
24,6,24,12,6,32,1013,17,24,1,0,0
25,6,24,11,5,33,1008,21,23,1,0,0
23,8,23,10,5,35,1004,29,23,1,0,0
18,3,19,13,10,59,1010,38,21,1,0,0
18,1,19,12,10,48,1012,34,21,0,0,0
23,7,23,12,9,33,1010,20,24,0,0,0
26,11,26,13,8,36,1010,24,26,1,0,0
25,10,25,14,9,35,1009,22,25,1,0,0
27,11,29,12,9,33,1014,16,30,1,0,0
29,14,29,11,9,30,1012,18,28,1,0,0
28,13,28,11,9,36,1012,23,29,1,0,0
29,14,29,10,10,29,1012,17,29,0,0,0
25,10,23,13,8,36,1008,30,25,0,0,0
22,7,20,16,8,42,1002,37,20,1,0,1
20,4,23,13,9,44,1007,29,25,1,0,0
21,3,22,15,9,42,1011,27,24,1,0,0
21,0,21,16,9,37,1012,29,22,1,0,0
21,1,22,13,9,32,1013,19,23,1,0,0
24,7,24,11,8,29,1010,25,24,0,0,0
26,10,25,11,7,31,1005,23,25,0,0,0
24,7,24,14,8,39,1004,29,24,1,0,0
17,0,18,14,9,51,1007,38,20,1,0,0
21,3,22,12,9,36,1009,39,24,1,0,0
17,0,17,11,5,64,1008,38,19,1,0,0
21,2,22,11,10,49,1011,27,25,1,0,0
20,0,20,10,9,51,1010,35,22,0,0,0
22,1,22,10,4,61,1013,25,24,0,0,0
24,4,24,11,10,43,1014,20,27,1,0,0
23,5,23,10,10,48,1012,27,26,1,0,1
22,4,22,11,4,57,1011,23,23,1,1,0
24,10,24,9,4,55,1011,22,28,1,0,0
29,12,28,11,8,36,1010,21,29,1,0,0
24,10,24,10,4,62,1007,24,25,0,0,0
17,2,18,12,10,75,1014,47,21,0,0,0
23,5,23,14,4,55,1015,24,25,1,0,0
24,7,24,12,4,56,1014,19,27,1,0,0
26,10,26,11,4,46,1014,19,29,1,0,0
28,12,28,11,4,42,1014,15,31,1,0,0
30,13,30,12,4,38,1015,13,31,1,0,0
32,16,32,11,5,37,1016,13,34,0,0,0
32,16,32,11,5,35,1014,13,33,0,0,0
31,16,31,11,5,41,1016,14,34,1,0,0
31,15,31,11,5,37,1014,13,32,1,0,0
32,17,31,11,5,35,1012,14,32,1,0,1
34,21,33,9,10,32,1009,19,35,1,0,0
29,15,29,9,9,45,1009,32,31,1,0,0
27,9,28,11,4,61,1010,23,30,0,0,0
25,8,26,11,4,50,1014,23,29,0,1,0
23,2,24,10,4,57,1016,29,26,1,0,0
25,5,25,11,4,40,1013,17,27,1,0,0
26,8,25,11,4,42,1012,31,26,1,0,0
17,0,17,12,10,70,1015,43,19,1,0,0
23,2,24,13,9,47,1017,22,27,1,1,0
27,5,27,11,10,35,1016,12,28,0,0,0
28,6,27,11,4,33,1013,13,28,0,0,0
27,6,27,12,4,34,1013,14,28,1,0,0
25,6,25,12,4,53,1015,20,29,1,0,0
26,6,27,14,4,43,1018,15,29,1,0,1
27,5,27,13,4,43,1018,14,28,1,1,0
27,7,27,13,5,40,1019,13,29,1,1,0
28,8,27,12,5,44,1017,16,30,0,0,0
27,7,25,12,4,43,1011,17,26,0,0,1
27,10,27,10,4,37,1010,18,29,1,0,0
26,6,27,12,3,49,1014,18,29,1,0,0
27,6,28,12,9,37,1014,13,29,1,0,0
26,5,26,12,9,36,1013,14,27,1,0,0
27,5,27,11,9,39,1014,22,28,1,0,0
24,2,25,12,9,45,1017,21,28,0,0,0
27,3,27,12,4,41,1019,14,30,0,0,0
28,5,28,12,4,38,1018,12,29,1,0,0
29,8,28,11,4,36,1016,16,29,1,0,0
28,10,27,11,4,38,1013,29,29,1,0,0
26,5,27,13,3,50,1016,18,29,1,0,0
26,4,26,11,4,45,1015,17,28,1,0,0
29,8,28,10,9,33,1012,13,29,0,0,0
30,10,30,10,9,29,1013,12,31,0,0,0
31,11,31,10,9,28,1013,12,31,1,1,0
29,10,29,11,9,34,1014,17,30,1,0,0
30,10,30,11,3,33,1014,12,31,1,0,0
32,13,33,10,4,31,1016,14,34,1,0,0
